VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1641279     10 0.22399 0.22399 40.39615  0.18330  0.00000  0.02126
SN: 1878148     10 0.22454 0.22454 40.25199  0.13650  0.00000  0.03123
SN: 1315192     10 0.22714 0.22714 40.07812  0.13930  0.00000  0.04870
SN: 1249308     10 0.22806 0.22806 40.44344  0.15970  0.00000  0.07286
SN: 1315259     10 0.22806 0.22806 40.25234  0.13590  0.00000  0.02443
SN: 1879426     10 0.22941 0.22941 40.21692  0.13090  0.00000  0.03430
SN: 1288083     10 0.23048 0.23048 40.19882  0.17540  0.00000  0.01737
SN: 1262746     10 0.23080 0.23080 40.24372  0.14250  0.00000  0.02157
SN: 1302648     10 0.23171 0.23171 40.16199  0.13890  0.00000  0.04305
SN: 1310367     10 0.23333 0.23333 40.42550  0.17130  0.00000  0.02651
SN: 1292336     10 0.23356 0.23356 40.30041  0.14490  0.00000  0.03523
SN: 1336687     10 0.23381 0.23381 40.27003  0.13320  0.00000  0.04157
SN: 1279500     10 0.23470 0.23470 40.39133  0.13670  0.00000  0.03511
SN: 1319366     10 0.23483 0.23483 40.24487  0.13820  0.00000  0.02183
SN: 1921033     10 0.23707 0.23707 40.51995  0.13730  0.00000  0.03382
SN: 1317277     10 0.23711 0.23711 40.33692  0.14910  0.00000  0.02106
SN: 1373042     10 0.23721 0.23721 40.56411  0.17040  0.00000  0.02698
SN: 1434248     10 0.23735 0.23735 40.32799  0.13450  0.00000  0.01951
SN: 1262573     10 0.23748 0.23748 40.49919  0.15830  0.00000  0.02173
SN: 1840041     10 0.23891 0.23891 40.41575  0.14460  0.00000  0.03194
SN: 1834104     10 0.23928 0.23928 40.40481  0.13950  0.00000  0.01855
SN: 1366436     10 0.23955 0.23955 40.49448  0.13430  0.00000  0.02231
SN: 1368188     10 0.24003 0.24003 40.42205  0.13500  0.00000  0.02545
SN: 1319711     10 0.24171 0.24171 40.48521  0.14900  0.00000  0.01663
SN: 1780045     10 0.24284 0.24284 40.50307  0.15000  0.00000  0.03240
SN: 1344355     10 0.24449 0.24449 40.34629  0.13770  0.00000  0.03021
SN: 1246275     10 0.24605 0.24605 40.53174  0.14070  0.00000  0.04075
SN: 1334645     10 0.24701 0.24701 40.37105  0.14110  0.00000  0.01680
SN: 1304104     10 0.25048 0.25048 40.43070  0.22450  0.00000  0.04708
SN: 1901059     10 0.25126 0.25126 40.41540  0.13600  0.00000  0.03846
SN: 1305276     10 0.25286 0.25286 40.71334  0.15930  0.00000  0.06937
SN: 1302359     10 0.25308 0.25308 40.90799  0.22250  0.00000  0.02268
SN: 1262726     10 0.25379 0.25379 40.27044  0.19920  0.00000  0.03325
SN: 1373028     10 0.25517 0.25517 40.37661  0.16430  0.00000  0.02089
SN: 1336480     10 0.25605 0.25605 40.57587  0.14770  0.00000  0.04590
SN: 1279420     10 0.25692 0.25692 40.39205  0.18880  0.00000  0.02553
SN: 1321450     10 0.25834 0.25834 40.57300  0.13710  0.00000  0.06127
SN: 1279547     10 0.25893 0.25893 40.73437  0.15900  0.00000  0.06089
SN: 1303883     10 0.25904 0.25904 40.59575  0.14060  0.00000  0.02972
SN: 1289664     10 0.25907 0.25907 40.41704  0.13910  0.00000  0.02394
SN: 1697026     10 0.26046 0.26046 41.01457  0.17230  0.00000  0.05154
SN: 1298079     10 0.26048 0.26048 40.70546  0.15170  0.00000  0.01759
SN: 1337649     10 0.26150 0.26150 40.53369  0.13400  0.00000  0.06565
SN: 1373040     10 0.26162 0.26162 40.55147  0.16450  0.00000  0.01912
SN: 1910132     10 0.26272 0.26272 40.85811  0.18240  0.00000  0.01295
