VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC
SN: PS16n      150 0.05309 0.05309 37.00580  0.11660  0.03500
SN: 2010dt      66 0.05316 0.05316 37.04730  0.13730  0.03490
SN: 2006lu       5 0.05346 0.05346 37.05190  0.12060  0.03480
SN: PS16bby    150 0.05468 0.05468 36.91020  0.12220  0.03400
SN: PS16ayd    150 0.05469 0.05469 37.11510  0.11650  0.03400
SN: SN2017cpu  150 0.05502 0.05502 36.87350  0.11770  0.03380
SN: AT2017oz   150 0.05614 0.05614 37.07910  0.12280  0.03310
SN: PS16aer    150 0.05693 0.05693 37.15140  0.11620  0.03270
SN: SN2016gmb  150 0.05830 0.05830 37.14450  0.12390  0.03190
SN: 2001ah      63 0.05886 0.05886 37.20910  0.14170  0.03160
SN: SN2017cjv  150 0.06092 0.06092 37.27860  0.12500  0.03060
SN: 2008bz      65 0.06099 0.06099 37.38000  0.11530  0.03060
SN: SN2016aqb  150 0.06384 0.06384 37.25870  0.11660  0.02920
SN: PS16bnz    150 0.06425 0.06425 37.24060  0.11870  0.02910
SN: 2006an      64 0.06486 0.06486 37.42540  0.11960  0.02880
SN: PS15cms    150 0.06627 0.06627 37.38450  0.11730  0.02820
SN: SN2016ixf  150 0.06711 0.06711 37.58580  0.13110  0.02790
SN: AT2016aj   150 0.06725 0.06725 37.41910  0.12330  0.02780
SN: PS15bjg    150 0.06786 0.06786 37.54110  0.12020  0.02760
SN: CSS160129  150 0.06844 0.06844 37.52990  0.12190  0.02730
SN: 2006al      64 0.06886 0.06886 37.64170  0.11560  0.02720
SN: PTSS17-niq 150 0.06897 0.06897 37.41800  0.11340  0.02710
SN: PS17yt     150 0.07073 0.07073 37.52500  0.11310  0.02650
SN: PS15bwh    150 0.07158 0.07158 37.53720  0.11570  0.02620
SN: PS15mt     150 0.07193 0.07193 37.79620  0.12540  0.02600
SN: PS15atx    150 0.07252 0.07252 37.81870  0.14230  0.02580
SN: Gaia16aki  150 0.07393 0.07393 37.78510  0.11620  0.02540
SN: PS17bii    150 0.07446 0.07446 37.46670  0.12470  0.02520
SN: AT2016gsu  150 0.07575 0.07575 37.65750  0.12160  0.02480
SN: PS15bif    150 0.07845 0.07845 37.67560  0.10810  0.02400
SN: 1247420     10 0.15027 0.15027 39.23850  0.12030  0.00000
SN: 1286398     10 0.15051 0.15051 39.35120  0.13710  0.00000
SN: 1299775     10 0.16008 0.16008 39.23360  0.13090  0.00000
SN: 1250034     10 0.16086 0.16086 39.43400  0.12510  0.00000
SN: 1422097     10 0.16332 0.16332 39.35070  0.12830  0.00000
SN: 1248907     10 0.17053 0.17053 39.20660  0.13370  0.00000
SN: 1479069     10 0.17268 0.17268 39.48870  0.12440  0.00000
SN: 1303279     10 0.17274 0.17274 39.39960  0.12160  0.00000
SN: 1770639     10 0.17623 0.17623 40.15960 156.20020  0.00000
SN: 1347120     10 0.17955 0.17955 39.74770  0.20460  0.00000
SN: 1303496     10 0.17978 0.17978 39.66040  0.12700  0.00000
SN: 1933029     10 0.18131 0.18131 39.67360  0.16720  0.00000
SN: 1339392     10 0.18148 0.18148 39.49330  0.12520  0.00000
SN: 1250017     10 0.18216 0.18216 39.81920  0.12360  0.00000
SN: 1257695     10 0.18383 0.18383 39.78900  0.12260  0.00000
SN: 1296321     10 0.18444 0.18444 40.07690  0.14150  0.00000
SN: 1336453     10 0.18492 0.18492 39.83930  0.12630  0.00000
SN: 1273127     10 0.18937 0.18937 40.02050  0.14830  0.00000
SN: 1891241     10 0.18958 0.18958 39.72940  0.12230  0.00000
SN: 1249939     10 0.19196 0.19196 39.92420  0.13080  0.00000
SN: 1261193     10 0.19247 0.19247 40.07520  0.14340  0.00000
SN: 1879208     10 0.19471 0.19471 39.94270  0.12060  0.00000
SN: 1253920     10 0.19556 0.19556 39.74380  0.12550  0.00000
SN: 1922067     10 0.19772 0.19772 39.82460  0.12340  0.00000
SN: 1302058     10 0.19836 0.19836 39.53850  0.12800  0.00000
SN: 1782065     10 0.20174 0.20174 39.82550  0.12980  0.00000
SN: 1550021     10 0.20587 0.20587 40.01090  0.12520  0.00000
SN: 1327978     10 0.20699 0.20699 39.92240  0.14450  0.00000
SN: 1283373     10 0.20753 0.20753 40.18050  0.12770  0.00000
SN: 1315197     10 0.20824 0.20824 39.96290  0.12950  0.00000
SN: 1324509     10 0.21062 0.21062 39.94040  0.13460  0.00000
SN: 1791048     10 0.21095 0.21095 40.30470  0.19290  0.00000
SN: 1257366     10 0.21136 0.21136 40.17100  0.12960  0.00000
SN: 1887027     10 0.21303 0.21303 40.12450  0.12650  0.00000
SN: 1297501     10 0.21492 0.21492 39.90410  0.13540  0.00000
SN: 1249851     10 0.21511 0.21511 40.26080  0.12420  0.00000
SN: 1371126     10 0.21601 0.21601 40.35420  0.13290  0.00000
SN: 1304442     10 0.21711 0.21711 40.24830  0.13420  0.00000
SN: 1282114     10 0.21781 0.21781 40.24360  0.15050  0.00000
SN: 1313230     10 0.21793 0.21793 40.04350  0.12380  0.00000
